92,passage,[pæsɪdʒ],n.通过 经过 通道 通路  一 段  一 节
75,work,[wɜːk],n.工作 劳动 操作 职业 [物]功 手工 作品 机件v. 使 工作  使 运转 起作用 造成 产生 经营  使 渐渐移动 煅制
70,but,[bət], prep.除...以外 conj.而是 但是adv.几乎 仅仅
70,who,[huː], pron.谁 那...的 人   世界卫生组织 WHO the World Health Organization 
69,about,[ə'baʊt],adv.附近 大约 转向 左右 周围 prep.在附近 关于 在...周围 忙于
68,say,[seɪ],v.说 讲 背诵 念 表示 比方说 假定n.话语 想说的意见 发言权
64,make,[meɪk],vt.制造 安排 使成为 认为 产生 获得 进行 构成vi.开始 前进 增大 被制造 被处理n.制造 构造 性情
63,may,[meɪ], aux.可能 也许 可以 祝 愿n. May  五月 能 可能
63,hear,[hɪə],vt.听到 听说 听取 审理 允许vi.听见 听到
63,she,[ʃiː], pron.[主格]她
63,how,[haʊ],adv. 指方式 方法 健康状况等 怎样  指范围 程度 数量 价值 多少 多么n.方式 或方法 
62,time,[taɪm],n.时间 时侯 时机 节拍 期限 次数 时期 比赛限时vt.安排...的时间 记录...的时间 计时 定时vi.打拍子  ... 合拍adj.时间的 记时的 定时的 定期的 分期的  n.时间 日期
61,good,[ɡʊd],n.好 好事 慷慨的行为 好处 利益adj.优良的 上等的 虔诚的 愉快的 慈善的 好心的 有益的
60,at,[ət], prep.在 于 向 对准 在...方面 Austria 奥地利
59,than,[ðən], conj.比 prep.与...相比较
58,section,[sekʃən],n.部分 断片 部件 节 项 区 地域 截面
58,answer,[ɑːnsə],n.答案 回答 答辩 抗辩v.回答说 答复说 符合 反响 响应
57,study,[stʌdi],n.学习 研究 学科 试作 论文 求学 努力 书房vt.学习 攻读 研究 考虑 计划vi.学习 试图
57,interest,[ɪntrəst],n.兴趣 关心 重要性 影响 利息 [常 pl.] 利益 利害vt.使发生兴趣 引起...的注意
56,student,[stjuːdənt],n. 大小学校的 学生 研究者 学者
55,base,[beɪs],n.底部 基础 根据地 基地 本部 基数  运动 出发点vt.以...作基础 基于... adj.卑鄙的 低级的
55,wa,[wɒ],Washington 美国华盛顿州邮递区号
52,mark,[mɑːk],n.标志 分数 痕迹 记号vt.做标记于 打分数 标志vi.作记号 Mark 马克 男子名 
52,many,[meni],n.多数 群众adj.许多的 pron.许多人 许多
52,there,[ðeə],adv.在那里
51,they,[ðeɪ], pron.他们 它们
50,just,[dʒʌst],adj.正义的 公正的 正确的 应得的 有充分根据的adv.正好 仅仅 刚才 只是 不过
49,when,[wen], conj.就在那个时候 在...的时候adv.什么时候 ...的时候 pron.什么时侯 那时
